Range_Name,destination_number
DR Congo AT,243819494642
Guinea AT,224621762613
Mauritania AT,22236304609
Morocco AT,212661469792
Equatorial Guinea AT,240222233151
Morocco AT,21260810660
Iran AT,989397499328
Mauritania AT,22232727920
Haiti AT,50936869202
Ecuador AT,593981002540
Mauritania AT,22236243464
Morocco AT,212661307493
Madagascar AT,261322815115
Madagascar AT,261329523911
Mauritania AT,22237476128
Morocco AT,212658399237
Chad AT,235664600195
Guatemala AT,50234671443
Mauritania AT,22236661783
Mauritania AT,22236242903
Morocco AT,2126619139922
Madagascar AT,261329853908
Togo AT,22897502430
Equatorial Guinea AT,2402520816
Madagascar AT,261322815114
Madagascar AT,261329763906
Mali AT,22365200122
Morocco AT,212666206933
Sierra Leone AT,23278120437
Guatemala AT,50243826934
Chad AT,235662065175
Mauritania AT,22232723092
Mauritania AT,22236303781
Tonga AT,6768482702
Mauritania AT,22236300096
Mauritania AT,22236303633
Morocco AT,212622211824
Mauritania AT,22233187270
Morocco AT,212642808774
Mauritania AT,22237327656
Morocco AT,212661301757
Cuba AT,5352928459
Chad AT,235664213478
CAR AT,2367207303
Morocco AT,212662245989
Equatorial Guinea AT,2405200075
Morocco AT,212678780808
