Range_Name,Number
Abkhazia KW1,78402000023
Abkhazia KW1,78402000029
Abkhazia KW1,78402000030
Abkhazia KW1,78402000031
Abkhazia KW1,78402000032
Abkhazia KW1,78402000036
Abkhazia KW1,78402000038
Abkhazia KW1,78402000039
Abkhazia KW1,78402000041
Abkhazia KW1,78402000048
Abkhazia KW1,78402000054
Abkhazia KW1,78402000066
Abkhazia KW1,78402001770
Abkhazia KW2,78405090276
Albania KW1,355661100090
Albania KW2,35544026189
Albania KW3,355682067885
Albania KW4,35586230575
Albania KW5,355680900001
Albania KW5,355688700001
Albania KW6,355673083244
Albania KW7,355665551252
Albania KW8,355698815882
Albania KW9,355673276002
Albania KW10,355662696002
Albania KW10,355663061018
Albania KW10,355669102004
Albania KW10,355669103004
Albania KW10,355669104004
Albania KW11,355675200108
Albania KW12,355692002103
Albania KW12,355692007002
Albania KW12,355692015984
Albania KW12,355692016984
Albania KW12,355692017984
Albania KW12,355692018984
Albania KW12,355692018997
Albania KW12,355692019984
Albania KW13,355684095275
Albania KW13,355684099575
Albania KW14,355695613690
Albania KW15,355675740037
Albania KW16,355687042255
Albania KW16,355687045460
Albania KW17,355698503690
Albania KW18,355694982374
Albania KW19,355697431106
Algeria KW1,213770902110
Algeria KW1,213770902112
Algeria KW1,213770902113
Algeria KW1,213770902116
Algeria KW1,213770902117
Algeria KW1,213770902118
Algeria KW1,213770902119
Algeria KW1,213773088075
Algeria KW2,213552030346
Algeria KW2,213554418035
Algeria KW3,213559974603
Algeria KW4,213549294753
Algeria KW5,213542323585
Algeria KW6,213550641474
Algeria KW6,213554461051
Algeria KW6,213559984960
Algeria KW7,213560055150
Algeria KW8,213597764684
Algeria KW9,213770000823
Algeria KW9,213778359554
Algeria KW10,213692671067
Angola KW1,244949172134
Angola KW1,244949172146
Angola KW1,244949172148
Angola KW1,244949172150
Angola KW1,244949172151
Angola KW1,244949172153
Angola KW1,244949172154
Angola KW1,244949172155
Angola KW1,244949172161
Angola KW1,244949172163
Angola KW2,244923190270
Anguilla KW1,12645360201
Anguilla KW1,12645360441
Anguilla KW2,12645399505
Anguilla KW2,12645399520
Anguilla KW2,12645399521
Anguilla KW2,12645399522
Anguilla KW2,12645399523
Anguilla KW2,12645399524
Anguilla KW2,12645399525
Anguilla KW2,12645399526
Anguilla KW2,12645399527
Anguilla KW2,12645399528
Anguilla KW3,12641175494
Anguilla KW4,12642356964
Anguilla KW5,12644764307
Anguilla KW6,12647488921
Anguilla KW7,12645379853
Antartica Ii KW1,672121290
Antigua And Barbuda KW1,12687824236
Antigua And Barbuda KW2,12687232655
Antigua And Barbuda KW2,12687707982
Armenia KW1,37492105430
Armenia KW2,37496647250
Armenia KW3,37441419235
Aruba KW1,2976408696
Austria KW1,43463288200
Austria KW1,43463288201
Austria KW1,43463288202
Austria KW1,43463288207
Austria KW1,43463288208
Austria KW1,43463288211
Austria KW1,43463288212
Austria KW1,43463288213
Austria KW1,43463288214
Austria KW1,43463288215
Austria KW1,43463288219
Austria KW1,43463288220
Austria KW1,43463288221
Austria KW1,43463288222
Austria KW1,43463288223
Austria KW1,43463288224
Austria KW1,43463288226
Austria KW1,43463288227
Austria KW1,43463288228
Austria KW1,43463288229
Austria KW1,43463288230
Austria KW1,43463288231
Austria KW1,43463288232
Austria KW1,43463288233
Austria KW1,43463288234
Austria KW1,43463288235
Austria KW1,43463288236
Austria KW1,43463288237
Austria KW1,43463288238
Austria KW1,43463288239
Austria KW1,43463288247
Austria KW1,43463288248
Austria KW2,43820345702
Austria KW3,43820901015011
Austria KW3,43820909015007
Austria KW3,43820909015028
Austria KW3,43820919120007
Austria KW3,43820919120028
Austria KW3,43820919200007
Austria KW3,43820919200028
Austria KW3,43820919925007
Austria KW3,43820919925028
Austria KW3,43820921301007
Austria KW3,43820921301028
Austria KW3,43820921400007
Austria KW3,43820921400028
Austria KW3,43820921505007
Austria KW3,43820921505028
Austria KW3,43820921610007
Austria KW3,43820921610028
Austria KW3,43820929210003
Austria KW3,43820929210024
Austria KW3,43820939320003
Austria KW3,43820939320024
Austria KW3,43820949480003
Austria KW3,43820949480024
Austria KW3,43820988015003
Austria KW3,43820988015028
Austria KW3,43820988140003
Austria KW3,43820988140024
Austria KW3,43820988303003
Austria KW3,43820988303024
Austria KW3,43820988404003
Austria KW3,43820988404024
Austria KW3,43820988580003
Austria KW3,43820988580024
Austria KW3,43820988606003
Austria KW3,43820988606024
Austria KW3,43820988700003
Austria KW3,43820988700098
Austria KW3,4382098893503
Austria KW3,4382098893595
Azerbaijan KW1,994502612074
Azerbaijan KW1,994508273293
Azerbaijan KW2,994515492354
Azerbaijan KW3,994555906293
Azerbaijan KW3,994559963394
Barbados KW1,12468303373
Barbados KW2,12462576579
Barbados KW2,12462855506
Barbados KW3,12468382284
Belarus KW1,375443280456
Belarus KW1,375443280586
Belarus KW1,375443281773
Belarus KW1,375443282090
Belarus KW2,37526721704
Belarus KW3,375443262687
Belarus KW3,375443262688
Belarus KW4,375293754465
Belarus KW4,375297594333
Belarus KW5,375172023373
Belarus KW5,375173112134
Belarus KW6,375333972516
Belarus KW7,375213563403
Belarus KW8,375251488693
Belgium KW1,32468901427
Belgium KW1,32468901436
Belgium KW1,32468901482
Belgium KW2,32467400059
Belgium KW2,32467400060
Belgium KW2,32467400062
Belgium KW2,32467400401
Belize KW1,5016622856
Belize KW2,5016013445
Belize KW3,5016213853
Belize KW4,5018284653
Benin KW1,22995966256
Bolivia KW1,59167026266
Bosnia KW1,38765090688
Bosnia KW1,38765091401
Bosnia KW1,38765092357
Bosnia KW1,38765093566
Bosnia KW1,38765156616
Bosnia KW1,38765160909
Bosnia KW1,38765161653
Bosnia KW1,38765504587
Bosnia KW1,38765789570
Bosnia KW2,38766121320
Bosnia KW2,38766122046
Bosnia KW2,38766409172
Bosnia KW2,38766513170
Bosnia KW2,38766514154
Bosnia KW2,38766680840
Bosnia KW2,38766831386
Bosnia KW3,38763220844
Bosnia KW3,38763220849
Bosnia KW3,38763220887
Bosnia KW3,38763220923
Bosnia KW3,38763220979
Bosnia KW3,38763224830
Bosnia KW3,38763225049
Bosnia KW3,38763304714
Bosnia KW3,38763308092
Bosnia KW3,38763595758
Bosnia KW3,38763596204
Bosnia KW3,38763600472
Bosnia KW4,387644021531
